headline,description,link,date_scraped,source
Iran warns Israeli attacks in Lebanon threaten ceasefire with US,Earlier Israel's PM ordered strikes on Beirut's southern suburbs in response to Hezbollah rocket and drone attacks on northern Israel.,https://www.bbc.com/news/articles/c202rxp1z15o,2026-06-02 01:01:22,BBC News
Bowen: Trump needs this war to end but Iran is not backing down,"Under pressure from the polls and Gulf allies, the White House is pushing for a deal but Iran wants concessions, writes BBC's international editor.",https://www.bbc.com/news/articles/cedp3lee059o,2026-06-02 01:01:22,BBC News
Italians bemused by Milan bull mosaic restoration,"Italians wondered what had happened to the animal's ""lucky-charm"" testicles.",https://www.bbc.com/news/articles/ckgp72v8q0wo,2026-06-02 01:01:22,BBC News
"Serena Williams, 44, to return to action in Queen's doubles",She will return to competitive tennis for the first time in nearly four years when she plays in the women's doubles at Queen's.,https://www.bbc.com/sport/tennis/articles/cx21k06ddvyo,2026-06-02 01:01:22,BBC News
Three Ebola vaccines in development amid growing outbreak fears,"IAVI, Moderna and the University of Oxford are all working on new vaccines.",https://www.bbc.com/news/articles/cn8pw93929wo,2026-06-02 01:01:22,BBC News
Watch: Fans break glass door trying to see TV star,Huge crowds formed outside a shopping centre in China to see Pursuit of Jade's Zhang Linghe.,https://www.bbc.com/news/videos/cr7pye93n1ro,2026-06-02 01:01:22,BBC News
"OpenAI let ChatGPT aid and abet mass shooters, Florida lawsuit claims",Florida Attorney General James Uthmeier alleges OpenAI and boss Sam Altman built a 'web of deceit',https://www.bbc.com/news/articles/czx2j0v8d2xo,2026-06-02 01:01:22,BBC News
'Bereft and beleaguered' - Mandelson messages reveal criticism of No 10,Newly published documents show Lord Mandelson and ministers' concerns about the prime minister and Labour MPs.,https://www.bbc.com/news/articles/cwy2431r8xdo,2026-06-02 01:01:22,BBC News
Hungarian PM threatens to oust Orbán-era president,N/A,https://www.bbc.com/news/articles/c3w2vdd6jj3o,2026-06-02 01:01:22,BBC News
Former England captain and manager Kevin Keegan reveals stage four cancer diagnosis,N/A,https://www.bbc.com/sport/football/articles/cx21zjnjd2go,2026-06-02 01:01:22,BBC News
US political commentators Hasan Piker and Cenk Uygur denied entry to UK by Home Office,N/A,https://www.bbc.com/news/articles/cwy2rxyvvl1o,2026-06-02 01:01:22,BBC News
"France seized sanctioned Russian oil tanker with UK help, Macron says",N/A,https://www.bbc.com/news/articles/cn8pwgej1gxo,2026-06-02 01:01:22,BBC News
British woman dies after Pyrenees peak fall,N/A,https://www.bbc.com/news/articles/cjwpen68p92o,2026-06-02 01:01:22,BBC News
A year of grief after Air India crash: What remains when a plane falls from the sky,A mother still speaks about her son who died in the crash in the present tense and a brother waits for answers.,https://www.bbc.com/news/articles/ce9pp53ky42o,2026-06-02 01:01:22,BBC News
Secret tunnels and unregistered workers: China's coal mine disaster is a reminder of darker days,China's worst coal mining disaster in 15 years comes amid an ambitious pivot towards green energy.,https://www.bbc.com/news/articles/cpwpeg57777o,2026-06-02 01:01:22,BBC News
'Don't be too kind': Maternity staff used offensive terms to refer to pregnant women,BBC Panorama has seen documents and spoken to former midwives from Nottingham University Hospitals NHS Trust.,https://www.bbc.com/news/articles/c152y8j4gljo,2026-06-02 01:01:22,BBC News
Emma Barnett: We can't ignore this disease that leaves one in 10 women like me in agony,"Women tell the BBC presenter how endometriosis affects their lives, as she challenges ministers to take action.",https://www.bbc.com/news/articles/c4g4jpzxk4zo,2026-06-02 01:01:22,BBC News
Satellite images suggest Iran's strikes are more precise and extensive than US acknowledged,Analysts told BBC Verify that Tehran's strikes were more extensive than publicly acknowledged.,https://www.bbc.com/news/articles/c2l2yl7r8r2o,2026-06-02 01:01:22,BBC News
What's next for KSI and the Sidemen?,YouTuber KSI shocked fans after announcing his departure from the Sidemen over the weekend.,https://www.bbc.com/news/articles/c93xz8w1j3ko,2026-06-02 01:01:22,BBC News
Key messages between Mandelson and ministers so far,"The 1,000 pages include criticisms of Labour MPs, No 10 and the prime minister.",https://www.bbc.com/news/articles/c4g819dml28o,2026-06-02 01:01:22,BBC News
Watch: Moment a meteor creates sonic boom over Massachusetts,N/A,https://www.bbc.com/news/videos/c1m24g0n40ko,2026-06-02 01:01:22,BBC News
Marilyn Monroe 'lookalikes' gather to celebrate her 100th birthday,N/A,https://www.bbc.com/news/videos/cj4p7vwxr05o,2026-06-02 01:01:22,BBC News
MAFS UK insiders tell of 'unhealthy' focus on sex,N/A,https://www.bbc.com/news/videos/cy92w431ev9o,2026-06-02 01:01:22,BBC News
